Section,,Id(Unique),Question,type,Weightage for Question,major_version,minor_version,Answer 1,Score 1,Answer 2,Score 2,Answer 3,Score 3,Answer 4,Score 4,Answer 5,Score 5,"Answer ""NA""",Score ,,Category,Sub Category
Continuous Exploration,,1,Please rate your team's ability to translate business ideas into hypothesis statements.,dropdown,1,1,0,Ideas are vague or not defined. (updated),1,Ideas are defined (e.g.$ as epics) but do not include hypothesis statements.,2,Some ideas are expressed as hypothesis statements with measurable outcomes.,3,Most ideas are expressed as hypothesis statements with measurable outcomes and include an MVPs.,4,All ideas are expressed as hypothesis statements with measurable outcomes and include an MVPs.,5,NA- This is not applicable for my project scope.,NA,,Continuous Exploration,Hypothesize
Continuous Exploration,,2,Please rate your team's ability to collaborate with business and IT teams to define features  in order to support of the epic/hypothesis. (updated),dropdown,1,1,0,Product Management roles and responsibilities are not defined or followed.,1,Product Management collaboration with customer or development team only when required.,2,Product Management collaborates with business-side or development-side experts in silos$ but not together when defining requirements.,3,Product Management regularly collaborates with business$ solution architects and development team.,4,Product Management regularly collaborates with business$ solution architects$ development team and operations team.,5,NA- This is not applicable for my project scope.,NA,,Continuous Exploration,Collaborate
Continuous Exploration,,3,Please rate your team's effectiveness at architecting products for scalability.,dropdown,1,0,0,Architecture is monolithic and doesn't support scaling.,1,Architecture is predominantly monolithic but some components are distributed.,2,Architecture supports distributed hosting but hosted centrally at the moment.,3,Architecture supports distributed hosting and its distributed.,4,Architecture supports distributed hosting and its distributed. Designed around value delivery stream and supports release on demand.,5,NA- This is not applicable for my project scope.,NA,,Continuous Exploration,Architect
Continuous Exploration,,4,Please rate your team's effectiveness at architecting products with respect to dependencies/interfaces and continuous delivery.,dropdown,1,0,0,Architecture is tightly coupled with upstream and downstream systems. It is difficult to change and involves managing complex dependencies across many components and systems. ,1,Architecture is moderately coupled and dependencies are manageable.,2,Architectures is most decoupled but individual components/systems alone support release on demand.,3,Architectures is most decoupled and most components/systems support release on demand.,4,Architectures is most decoupled$ upstream and downstream system support release on demand.,5,NA- This is not applicable for my project scope.,NA,,Continuous Exploration,Architect
Continuous Exploration,,5,Please rate your team's ability on backlog grooming as results of Continuous Exploration.,dropdown,1,0,0,The program backlog does not exist or is not shared. ,1,The program backlog exists but the features are incomplete.,2,The program backlog contains fully defined features but are not prioritized using (WSJF) Weighted Shortest Job First.,3,Features in the program backlog are complete$ prioritized using WSJF and but is not aligned to the delivery capacity of the ART (Agile Release Trains).,4,Features in the program backlog are complete$ prioritized using WSJF and but is fully aligned to the delivery capacity of the ART (Agile Release Trains).,5,NA- This is not applicable for my project scope.,NA,,Continuous Exploration,Synthesize
Continuous Integration,,6,Please rate your team's ability to define stories.,dropdown,1,1,0,The team backlog does not exist or is not used to manage daily work.,1,Stories are either incomplete or vague.,2,Stories are complete$ but not prioritized.,3,Stories are complete$ also prioritized using some techniques.,3.5,Stories are completed$ rightly prioritized and assigned with clear timelines.,5,NA- This is not applicable for my project scope.,NA,,Continuous Integration,Develop
Continuous Integration,,7,Please rate your team's ability in following best software development methodologies.,dropdown,2,0,1,We are aware of Agile but we do not follow.,1,We are aware of Agile and we partially follow the same.,2,We do follow Agile but not in a DTE way.,3,We collaborate with DTE and follow some of their principles/practices.,4,We completely follow DTE methodologies.,5,NA- This is not applicable for my project scope.,NA,,Continuous Integration,Develop
Continuous Integration,,8,Please rate your team's ability to maintain code quality & standards.,dropdown,1,0,0,No static code analysis in place to determine the health of code.,1,Static code analysis is done but its not automated.,2,Static code analysis executed and is automated with proper coverage report. Code coverage check is automated.,3,Automated Static code analysis in place and coverage criteria is set 80%.Peer reviews are always conducted.,4,Automated static code analysis in place$ coverage criteria is set to 80%$ integrated to the CI pipeline$ build is triggered only if the coverage is met.,5,NA- This is not applicable for my project scope.,NA,,Continuous Integration,Develop
Continuous Integration,,9,Please rate your team's ability to mitigate security vulnerabilities from dynamic analysis on an application.,dropdown,1,0,0,New (non-legacy) vulnerabilities are release to production.,1,Legacy vulnerabilities are released to production but burnt down by 10% a month.,2,No vulnerabilities are released to production.,3,No vulnerabilities are found in nightly analysis.,4,No vulnerabilities are found in incremental desktop analysis.,5,NA- This is not applicable for my project scope.,NA,,Continuous Integration,Develop
Continuous Integration,,10,Please rate your team's effectiveness in source code management.,dropdown,1,0,0,We don't use any source code repository.,1,Multiple repositories to manage source code$ config files$ scripts and other supporting artifacts. ,2,One common repository for source code$ config files$ scripts and other supporting artefacts. ,3,Common repository but we do not follow any version controlled.,4,Common repository with version control and integrated with build pipeline.,5,NA- This is not applicable for my project scope.,NA,,Continuous Integration,Develop
